family,rep_model,cap_model
Adamaviridae,LG+I+G4,PMB+F+G4
Alphapleolipovirus,none,PMB+F+G4
Alphasatellitidae,VT+R6,none
Amesuviridae,none,none
Anelloviridae,HIVb+G4,VT+F+G4
Anicreviridae,LG+I+G4,Blosum62+F+G4
Bacilladnaviridae,Q.pfam+I+G4,rtREV+F+I+G4
Bidnaviridae,none,Q.pfam+F+G4 
Circoviridae,Q.pfam+F+R10,Q.pfam+F+R6
Draupnirviridae,Blosum62+R6,rtREV+F+R3
Finnlakeviridae,none,none
Gandrviridae,LG+G4,rtREV+F+I+G4
Geminiviridae,VT+G4,LG+G4
Genomoviridae,VT+F+R10,Q.pfam+F+R10
Inoviridae,VT+F+R8,none+F30
Kirkoviridae,LG+I+G4,none
Metaxyviridae,none,none
Microviridae,VT+F+I+R10,Q.pfam+F+R10
Nanoviridae,LG+I+G4,Q.plant+G4
Naryaviridae,Q.yeast+G4,Q.pfam+F+G4
Nenyaviridae,LG+I+G4,Q.pfam+F+R2
Ouroboviridae,Q.pfam+R5,Q.pfam+F+I+G4
Parvoviridae,LG+G4,Q.pfam+F+R7
Paulinoviridae,none,none
Pecoviridae,LG+I+G4,rtREV+F+G4
Plectroviridae,none,
Redondoviridae,Q.yeast+F+R4,WAG+R3
Smacoviridae,Q.pfam+F+R10,Q.pfam+F+R8
Tolecusatellitidae,Blosum62,none
Vilyaviridae,Q.pfam+I+G4,Q.yeast+F+G4
